id,work;start_date;anonymized feature 157,birthday;anonymized feature 209,birthday;anonymized feature 2,birthday;anonymized feature 3,birthday;anonymized feature 210,education;classes;id;anonymized feature 335,education;classes;id;anonymized feature 336,education;concentration;id;anonymized feature 14,education;concentration;id;anonymized feature 337,education;concentration;id;anonymized feature 338,education;concentration;id;anonymized feature 217,education;concentration;id;anonymized feature 339,education;school;id;anonymized feature 340,education;school;id;anonymized feature 341,education;school;id;anonymized feature 342,education;school;id;anonymized feature 343,education;school;id;anonymized feature 344,education;school;id;anonymized feature 345,education;school;id;anonymized feature 346,education;school;id;anonymized feature 347,education;school;id;anonymized feature 348,education;school;id;anonymized feature 349,education;type;anonymized feature 53,education;type;anonymized feature 54,education;type;anonymized feature 55,education;with;id;anonymized feature 350,education;with;id;anonymized feature 351,education;year;id;anonymized feature 255,education;year;id;anonymized feature 61,education;year;id;anonymized feature 64,education;year;id;anonymized feature 65,education;year;id;anonymized feature 67,education;year;id;anonymized feature 71,education;year;id;anonymized feature 259,education;year;id;anonymized feature 72,first_name;anonymized feature 352,first_name;anonymized feature 353,first_name;anonymized feature 354,first_name;anonymized feature 355,first_name;anonymized feature 356,first_name;anonymized feature 357,first_name;anonymized feature 358,male,female,hometown;id;anonymized feature 359,languages;id;anonymized feature 92,languages;id;anonymized feature 97,last_name;anonymized feature 360,last_name;anonymized feature 361,last_name;anonymized feature 362,last_name;anonymized feature 363,last_name;anonymized feature 273,last_name;anonymized feature 364,last_name;anonymized feature 365,locale;anonymized feature 126,locale;anonymized feature 127,location;id;anonymized feature 359,location;id;anonymized feature 366,location;id;anonymized feature 367,work;employer;id;anonymized feature 343,work;employer;id;anonymized feature 368,work;end_date;anonymized feature 157,work;location;id;anonymized feature 359
687,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
688,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
690,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
695,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
